seed,numerRuns,rounds,outcome
6323571865709983848,1,34,win
4906587611534206570,1,28,loss
3273870771505832580,1,43,win
7597093204852630771,1,43,win
2596169814583884302,1,20,win
4328126573356717478,1,5,loss
8568453119729532256,1,39,win
3536232912374361674,1,24,win
756897235347431336,1,37,win
496666173316462099,1,17,win
1528777930567866436,1,20,win
88960398304277729,1,77,win
2909282837714475015,1,30,win
8772719132415323010,1,16,win
426609063959368299,1,78,loss
7061231284471308121,1,36,win
6422908336942720779,1,57,loss
4036283784687200269,1,74,win
1792125222205559865,1,59,loss
3010944713935609715,1,33,loss
683848902012311505,1,75,win
8694408440890730228,1,16,win
1386028279304602514,1,24,win
3736947454190505375,1,81,win
8429869881458419488,1,30,loss
4747649638659645732,1,43,win
3832595139045794543,1,17,win
4892999396595512548,1,32,loss
8476969678285147003,1,13,win
2328842325879236623,1,50,win
809403511430569551,1,80,win
1677031818271041251,1,56,win
813100642070867022,1,21,win
1637799045101497820,1,29,win
8775449969899916557,1,49,win
1149084936402268244,1,39,loss
630890735721058253,1,40,loss
2870562810154858665,1,63,win
1721324556419814385,1,21,win
6434811851028400181,1,63,loss
31531039750832487,1,20,win
4925031316094347400,1,9,win
502717652042648939,1,41,win
3245108277965086484,1,75,win
5214651986454961991,1,98,win
1285306921020410258,1,50,win
3528564978037729738,1,65,loss
6079541463285864956,1,13,loss
8660094268660964793,1,31,win
6439980900603441993,1,28,win
5858707933957065194,1,17,win
2416338420119436544,1,27,win
1636995983268638928,1,36,win
2071551561826000512,1,50,win
5346302037518314860,1,44,win
8024953575380226361,1,35,win
9140867868017089842,1,40,win
441654791366830838,1,25,win
189239467468714235,1,24,loss
3973556968335890737,1,21,win
7809034947240269403,1,16,win
6461032636431864340,1,25,loss
3395763928548088752,1,34,win
2189487748868207662,1,27,win
4129263063024608751,1,22,win
550836129938803316,1,29,win
8345788777081930660,1,94,win
9074302643046605171,1,66,win
1344275489309247482,1,43,loss
6117034420772738571,1,57,win
2904996105259331970,1,42,win
8082167122499088852,1,36,loss
5858072037388874934,1,80,loss
8706563153671328597,1,27,loss
2259710642121234181,1,59,win
775099311569977531,1,40,win
1723859308728979455,1,37,win
7969706970831746665,1,16,win
3243671930554953275,1,41,loss
4320285208006723579,1,23,win
7079919502639534920,1,31,loss
8602235866223983718,1,56,loss
5693346285526436699,1,14,win
4723352897893094378,1,56,win
1179464251899581678,1,38,win
2930108651377766253,1,31,win
8603560408291565034,1,57,win
6415633085688756088,1,9,win
356561433474951604,1,9,win
2899920531196855045,1,48,win
4873081394275015695,1,44,loss
3701850639853067925,1,34,win
5826610469889888859,1,85,loss
6228746683498652733,1,11,win
8037804247263171563,1,17,win
5644230234474623042,1,15,win
3829804134328777699,1,17,win
4810134688867734082,1,57,win
5487864778360951467,1,37,win
2859151529629512534,1,15,win
574700406043622763,1,25,win
3964681881889909144,1,62,win
8038317824407205971,1,64,win
5216659373161926153,1,55,loss
2029095629798910203,1,47,loss
9102951886647854214,1,55,win
2715749356181490101,1,93,loss
7117952704557507181,1,26,loss
2149670966808878870,1,37,win
5567450825397812643,1,16,win
4263162603898424527,1,31,win
2657900055077435423,1,41,win
8020941842178083091,1,71,loss
5259355375162692115,1,55,win
7078546651045330948,1,24,win
4203414193377437638,1,17,win
7052210986012844592,1,50,win
8099521352346203474,1,20,win
2177964463733802989,1,29,win
8283757085162676899,1,33,win
5926114903073623834,1,106,win
6715975582749809165,1,82,win
4808522310043993205,1,101,win
3074911234986020767,1,25,win
1861935750778743608,1,65,win
8391231628202227297,1,34,win
3685152418298453569,1,22,win
4030680248682171396,1,33,win
8912804810303958527,1,48,loss
5928301860808396159,1,62,win
3747767014371653983,1,71,win
6465116243887885031,1,71,win
3368588529491555863,1,21,win
7448243572244206298,1,45,win
2234999583805768491,1,5,win
4919987822182511278,1,16,win
8391125310410652047,1,32,win
6026448788145908753,1,33,win
7008399078156051870,1,58,win
998876414751230974,1,36,win
7470323901692522915,1,29,win
1316973783222400683,1,20,loss
3813172487051393043,1,78,loss
456144705765251871,1,45,win
7728372744982057427,1,29,win
4137640665316853367,1,25,win
316683048990850744,1,55,win
2043756026140771808,1,5,win
3984627125247166950,1,31,win
4026171420625408107,1,32,loss
8311311332335184850,1,50,loss
6078855184690525466,1,85,win
3085870830644022072,1,41,win
2031447495959069779,1,24,win
8085683212005835867,1,18,win
437334028482080182,1,41,win
9017884332362978617,1,16,win
104052098672101342,1,11,win
2169602674960055168,1,33,win
3852016391952634076,1,42,win
1348326001584764797,1,62,loss
372010290013308760,1,33,win
5154749794494299247,1,27,win
7153652863230404412,1,56,win
8707114783396454321,1,9,win
3723889930843352424,1,55,loss
5598202277756361417,1,28,win
2407308900617302601,1,34,win
1172660903745799047,1,137,win
3849099126646780556,1,67,win
1289488978553364652,1,17,win
3302956287817898811,1,31,win
7320014959203820019,1,26,win
8490349978974352730,1,22,loss
2859526989691728545,1,32,win
6249892559971285773,1,9,loss
5418771448759766142,1,28,loss
627368785371782242,1,30,win
5272708944067384239,1,23,loss
8264604652111978718,1,80,loss
3818038363544301384,1,57,loss
1025797934505954687,1,18,win
7577026574880938603,1,38,win
569533096207296873,1,27,loss
1027198453010613535,1,36,win
204219883636480060,1,33,win
8574569965205458462,1,42,loss
3032115082096623874,1,20,loss
8423136831639236001,1,42,win
1757020059984273583,1,47,loss
3024038827056590791,1,39,win
6608924533577116698,1,41,win
3266982297868986513,1,40,win
1922362652139880045,1,20,win
6606849993129961366,1,40,loss
1698383976834669875,1,21,win
7419670523798081261,1,37,win
3096433971969006252,1,68,win
5244206371713591846,1,32,win
1911834513993819393,1,34,win
